Életkor,Nem,Osztályzat_9,Osztályzat_10,Osztályzat_11,Osztályzat_12,Történelem,Matematika,Magyar Nyelv és Irodalom,Informatika,Biológia,Fizika,Angol,Német,Informatika_emelt,Biológia_emelt,Fizika_emelt,Angol_emelt,Német_emelt,Matematika_emelt,Történelem_emelt,Magyar Nyelv és Irodalom_emelt,Szülői Végzettség,Középiskola Presztízse,Extrakurrikuláris Tevékenységek,Tanulási Szokások,Munkatapasztalat,Ajánlások Száma,Versenyeken Való Részvétel,Vármegye,Felvételi Eredmény,ID
17,0,4.0,4.25,3.75,3.5,87,91,70,77,-1,-1,79,-1,0,-1,-1,1,-1,0,1,0,2,8.01,1,6,0,1,0,Hajdú-Bihar Vármegye,0.0,27
18,1,3.75,3.5,3.0,4.0,74,88,70,-1,-1,64,-1,54,-1,-1,1,-1,0,0,1,0,1,4.55,0,7,0,4,0,Nógrád Vármegye,1.0,28
17,0,3.75,3.75,3.5,3.0,83,77,95,98,-1,-1,68,-1,0,-1,-1,1,-1,0,0,0,3,7.49,1,3,0,1,0,Zala Vármegye,0.0,29
19,0,3.75,4.0,3.75,4.75,89,78,78,-1,-1,90,75,-1,-1,-1,0,0,-1,1,1,0,3,6.34,0,3,0,1,0,Somogy Vármegye,0.0,30
17,0,4.0,2.75,4.25,4.5,56,78,74,83,-1,-1,32,-1,0,-1,-1,0,-1,0,1,0,4,9.55,1,4,0,2,0,Zala Vármegye,0.0,31
19,1,4.75,4.0,3.5,4.75,85,97,66,-1,78,-1,69,-1,-1,0,-1,0,-1,0,1,1,2,4.43,1,8,0,1,1,Heves Vármegye,0.0,32
19,0,4.25,3.5,4.25,4.5,86,55,87,99,-1,-1,96,-1,1,-1,-1,1,-1,0,0,0,3,4.93,1,6,0,3,0,Szabolcs-Szatmár-Bereg Vármegye,0.0,33
18,1,4.0,4.25,2.75,3.5,63,88,52,-1,-1,81,73,-1,-1,-1,0,1,-1,0,0,0,3,7.15,0,4,1,4,0,Tolna Vármegye,0.0,34
18,1,3.0,3.25,4.5,3.5,90,93,65,-1,-1,74,83,-1,-1,-1,0,0,-1,0,1,0,1,4.83,0,2,0,3,0,Veszprém Vármegye,0.0,35
17,0,3.5,4.0,4.25,4.25,80,81,89,-1,53,-1,84,-1,-1,0,-1,1,-1,0,0,0,1,4.91,0,2,0,2,0,Zala Vármegye,0.0,36
19,0,4.75,4.5,4.0,4.0,99,92,76,93,-1,-1,-1,96,0,-1,-1,-1,0,0,1,0,2,2.54,1,5,0,6,0,Baranya Vármegye,0.0,37
17,1,2.75,3.25,3.75,3.75,72,83,93,84,-1,-1,-1,74,0,-1,-1,-1,0,0,0,1,3,7.07,0,3,0,1,0,Zala Vármegye,0.0,38
17,0,4.0,4.5,4.0,4.25,73,65,70,79,-1,-1,72,-1,1,-1,-1,0,-1,0,1,0,2,5.0,1,4,0,3,0,Pest Vármegye,0.0,39
17,1,4.75,4.0,4.25,3.5,88,84,93,84,-1,-1,73,-1,0,-1,-1,0,-1,1,1,0,3,6.42,0,1,0,2,0,Győr-Moson-Sopron Vármegye,1.0,40
17,0,3.5,3.5,3.75,4.0,94,65,70,97,-1,-1,-1,64,0,-1,-1,-1,0,0,0,0,2,5.49,1,8,0,5,0,Győr-Moson-Sopron Vármegye,0.0,41
18,1,4.25,4.5,3.75,4.5,92,90,78,52,-1,-1,-1,87,0,-1,-1,-1,0,1,0,1,2,4.86,1,4,0,1,0,Jász-Nagykun-Szolnok Vármegye,0.0,42
17,1,4.25,4.25,4.25,4.75,90,94,91,93,-1,-1,82,-1,0,-1,-1,1,-1,0,1,0,2,4.97,1,4,0,5,0,Bács-Kiskun Vármegye,0.0,43
17,1,3.75,2.75,2.75,4.0,58,77,78,-1,82,-1,71,-1,-1,1,-1,0,-1,0,0,0,1,3.26,1,7,0,2,0,Zala Vármegye,0.0,44
17,0,3.75,4.5,4.0,4.25,87,93,81,88,-1,-1,68,-1,0,-1,-1,1,-1,0,0,0,2,3.3,1,5,1,1,0,Tolna Vármegye,0.0,45
19,1,3.5,4.25,3.5,4.0,94,92,92,59,-1,-1,74,-1,1,-1,-1,1,-1,0,0,0,2,7.75,0,4,0,2,0,Budapest,1.0,46
19,1,3.75,4.5,4.0,3.25,81,99,67,-1,-1,72,83,-1,-1,-1,0,0,-1,1,0,0,4,8.28,1,3,0,1,0,Veszprém Vármegye,1.0,47
19,1,2.75,3.75,5.0,2.75,75,84,99,-1,-1,51,84,-1,-1,-1,1,1,-1,0,0,0,2,4.34,0,4,0,3,1,Zala Vármegye,0.0,48
19,1,2.25,4.0,3.75,3.75,70,88,86,92,-1,-1,88,-1,0,-1,-1,0,-1,0,0,0,3,8.55,1,4,0,3,1,Budapest,1.0,49
19,1,4.5,4.75,3.75,3.75,90,82,82,85,-1,-1,69,-1,1,-1,-1,1,-1,0,0,0,3,4.59,0,7,0,2,1,Fejér Vármegye,1.0,50
18,0,4.25,4.0,4.5,4.75,79,93,90,90,-1,-1,94,-1,1,-1,-1,1,-1,0,0,0,3,4.9,1,3,0,1,0,Komárom-Esztergom Vármegye,1.0,51
18,0,4.0,4.75,3.25,4.75,78,94,90,-1,64,-1,-1,83,-1,0,-1,-1,0,0,1,0,1,4.27,1,5,0,1,0,Zala Vármegye,0.0,52
19,0,3.5,4.0,4.0,4.5,79,93,91,85,-1,-1,83,-1,0,-1,-1,1,-1,1,0,0,1,3.78,1,5,0,1,0,Baranya Vármegye,1.0,53
17,0,3.5,4.25,3.25,3.75,96,92,91,-1,64,-1,87,-1,-1,0,-1,0,-1,0,1,0,3,8.2,1,6,0,4,1,Komárom-Esztergom Vármegye,0.0,54
18,1,4.25,4.0,4.75,4.25,91,70,90,-1,85,-1,-1,94,-1,1,-1,-1,0,0,0,0,1,2.55,1,5,0,3,0,Budapest,0.0,55
18,1,2.5,4.25,3.75,4.0,94,71,80,68,-1,-1,-1,77,0,-1,-1,-1,0,0,1,0,4,8.08,1,2,0,1,1,Baranya Vármegye,0.0,56
17,1,4.25,4.5,4.0,4.0,98,87,97,95,-1,-1,86,-1,1,-1,-1,1,-1,0,0,0,2,4.58,1,3,0,2,0,Budapest,1.0,57
17,0,4.5,3.75,3.0,4.75,93,98,87,93,-1,-1,94,-1,0,-1,-1,0,-1,0,0,1,3,8.31,1,4,0,1,0,Fejér Vármegye,0.0,58
17,1,3.5,4.0,2.5,4.25,82,75,89,-1,78,-1,-1,67,-1,0,-1,-1,0,1,1,0,2,4.06,0,6,1,3,1,Komárom-Esztergom Vármegye,1.0,59
19,0,3.5,4.25,4.25,3.5,95,88,78,95,-1,-1,92,-1,0,-1,-1,0,-1,0,0,0,3,7.11,1,5,0,2,0,Bács-Kiskun Vármegye,0.0,60
18,1,4.25,4.5,3.5,3.5,97,92,86,-1,75,-1,94,-1,-1,0,-1,0,-1,0,0,0,1,3.96,1,3,0,4,1,Zala Vármegye,0.0,61
18,1,3.5,3.5,4.25,4.75,77,45,85,-1,84,-1,96,-1,-1,0,-1,1,-1,0,0,0,3,9.48,1,3,0,2,0,Zala Vármegye,0.0,62
18,0,3.5,3.5,3.5,2.5,69,82,87,-1,-1,72,81,-1,-1,-1,0,1,-1,1,0,0,4,6.16,0,4,0,2,0,Budapest,0.0,63
17,1,3.75,3.5,3.75,4.25,68,51,91,-1,-1,86,78,-1,-1,-1,0,1,-1,0,1,0,2,6.88,1,3,0,3,0,Zala Vármegye,0.0,64
19,0,3.75,4.5,4.0,2.5,89,90,66,-1,-1,84,-1,91,-1,-1,0,-1,0,1,0,0,3,10.0,1,2,0,2,1,Csongrád Vármegye,1.0,65
19,0,4.75,4.75,2.75,2.75,93,67,94,83,-1,-1,86,-1,0,-1,-1,1,-1,0,0,1,4,7.83,1,3,0,2,0,Fejér Vármegye,0.0,66
19,0,4.75,4.25,3.5,4.25,92,80,69,90,-1,-1,47,-1,0,-1,-1,1,-1,1,0,0,3,7.62,1,1,0,1,0,Tolna Vármegye,0.0,67
17,0,3.25,4.25,4.25,4.0,58,76,70,-1,-1,76,40,-1,-1,-1,0,0,-1,0,0,0,2,3.32,0,3,0,4,0,Csongrád Vármegye,0.0,68
17,0,4.5,4.25,3.75,3.25,73,69,79,89,-1,-1,80,-1,1,-1,-1,1,-1,0,0,0,2,3.84,0,3,0,2,0,Csongrád Vármegye,0.0,69
19,0,4.75,3.75,3.5,3.25,84,95,84,86,-1,-1,79,-1,1,-1,-1,0,-1,0,1,0,2,1.76,1,5,0,4,0,Békés Vármegye,1.0,70
19,0,4.0,3.75,4.0,3.5,71,97,78,89,-1,-1,79,-1,1,-1,-1,1,-1,0,0,0,4,7.69,1,3,0,2,0,Hajdú-Bihar Vármegye,1.0,71
19,0,3.25,4.5,2.25,3.5,68,67,71,-1,63,-1,76,-1,-1,0,-1,1,-1,0,0,1,1,2.65,0,4,1,1,0,Szabolcs-Szatmár-Bereg Vármegye,0.0,72
19,1,2.5,4.5,3.75,3.25,54,90,72,63,-1,-1,92,-1,1,-1,-1,0,-1,0,1,0,1,1.83,1,1,0,1,0,Zala Vármegye,0.0,73
19,0,4.5,3.5,4.5,4.25,75,85,91,92,-1,-1,-1,90,1,-1,-1,-1,0,0,0,0,2,4.8,1,5,0,2,0,Csongrád Vármegye,0.0,74
18,1,2.5,3.75,2.75,2.5,84,57,70,-1,-1,75,73,-1,-1,-1,0,0,-1,1,1,0,3,7.6,1,8,0,1,0,Budapest,1.0,75
18,0,4.5,4.25,3.75,4.0,87,85,85,75,-1,-1,83,-1,0,-1,-1,1,-1,0,0,1,3,8.83,1,3,0,3,0,Borsod-Abaúj-Zemplén Vármegye,0.0,76
18,1,4.5,3.75,4.5,4.25,80,88,79,64,-1,-1,75,-1,0,-1,-1,1,-1,0,1,0,2,5.22,0,6,0,1,0,Budapest,1.0,77
17,1,2.5,3.25,4.0,4.5,94,85,75,-1,66,-1,84,-1,-1,0,-1,1,-1,0,1,0,2,5.48,1,1,0,1,0,Pest Vármegye,0.0,78
19,1,4.0,3.5,3.75,4.5,72,95,69,-1,-1,93,-1,81,-1,-1,0,-1,0,0,0,0,3,5.77,0,3,0,1,0,Heves Vármegye,0.0,79
17,0,4.5,3.5,4.25,3.25,78,81,85,-1,-1,98,-1,90,-1,-1,0,-1,0,0,0,0,3,9.45,1,4,0,4,1,Tolna Vármegye,1.0,80
18,0,4.25,4.25,4.5,4.0,64,87,67,-1,66,-1,56,-1,-1,0,-1,1,-1,0,0,1,2,3.34,1,4,1,1,0,Budapest,0.0,81
17,1,4.25,4.0,4.0,4.5,89,94,94,77,-1,-1,-1,95,0,-1,-1,-1,0,0,1,0,2,4.87,1,5,0,2,0,Nógrád Vármegye,0.0,82
17,1,3.0,4.75,4.0,3.25,67,72,87,75,-1,-1,96,-1,1,-1,-1,0,-1,0,1,0,2,5.92,1,5,0,1,0,Győr-Moson-Sopron Vármegye,0.0,83
17,0,3.5,4.0,4.0,4.75,90,70,98,-1,-1,83,86,-1,-1,-1,0,0,-1,0,0,0,2,2.46,1,5,0,1,1,Nógrád Vármegye,1.0,84
18,1,3.75,3.5,3.75,4.0,95,85,77,71,-1,-1,-1,94,0,-1,-1,-1,0,1,0,0,3,7.47,1,3,0,1,1,Jász-Nagykun-Szolnok Vármegye,1.0,85
17,0,4.25,4.5,2.75,3.75,94,56,64,-1,-1,74,86,-1,-1,-1,0,0,-1,0,0,1,5,7.49,1,4,0,2,0,Szabolcs-Szatmár-Bereg Vármegye,0.0,86
18,0,4.25,3.5,3.5,3.5,89,74,92,-1,-1,79,75,-1,-1,-1,0,0,-1,0,0,0,2,7.08,1,7,0,4,1,Baranya Vármegye,0.0,87
18,0,4.25,3.75,3.0,4.25,67,61,92,81,-1,-1,-1,58,0,-1,-1,-1,0,0,1,1,3,8.05,1,6,0,5,1,Szabolcs-Szatmár-Bereg Vármegye,0.0,88
18,1,4.75,4.0,4.25,4.75,87,74,92,50,-1,-1,92,-1,0,-1,-1,0,-1,0,1,0,3,8.03,0,5,0,6,1,Fejér Vármegye,1.0,89
18,0,4.25,4.25,4.5,3.5,92,91,97,78,-1,-1,-1,83,1,-1,-1,-1,0,0,1,0,3,5.93,0,1,0,1,0,Somogy Vármegye,0.0,90
17,0,4.25,4.0,4.0,3.0,88,91,94,-1,-1,93,92,-1,-1,-1,0,1,-1,0,0,1,3,6.86,1,4,1,1,0,Bács-Kiskun Vármegye,0.0,91
19,1,3.5,3.25,4.75,4.25,52,96,90,94,-1,-1,97,-1,0,-1,-1,1,-1,0,0,0,2,8.02,1,4,0,1,1,Vas Vármegye,1.0,92
19,0,3.25,4.0,4.25,4.0,74,66,86,78,-1,-1,89,-1,1,-1,-1,0,-1,0,0,0,3,8.1,0,3,0,1,0,Budapest,1.0,93
19,1,3.0,3.5,3.0,3.75,73,73,75,-1,70,-1,68,-1,-1,0,-1,0,-1,0,1,0,3,9.22,0,4,0,1,1,Budapest,0.0,94
18,1,3.25,3.5,5.0,4.25,90,69,95,-1,-1,71,65,-1,-1,-1,1,0,-1,0,1,0,1,3.67,1,3,1,1,1,Csongrád Vármegye,0.0,95
19,1,3.75,3.25,3.0,4.0,61,72,93,90,-1,-1,92,-1,1,-1,-1,0,-1,0,1,0,3,7.76,0,5,0,2,0,Baranya Vármegye,0.0,96
18,1,4.25,4.5,4.25,4.25,91,94,73,82,-1,-1,67,-1,1,-1,-1,1,-1,0,0,0,2,6.17,0,4,0,1,1,Csongrád Vármegye,1.0,97
19,0,4.5,3.25,4.75,4.25,89,94,95,-1,97,-1,50,-1,-1,0,-1,1,-1,0,1,0,1,4.78,1,7,0,4,0,Zala Vármegye,0.0,98
18,0,3.0,4.5,4.25,4.5,66,70,85,-1,87,-1,91,-1,-1,0,-1,1,-1,0,1,0,4,8.55,1,4,0,1,1,Zala Vármegye,0.0,99
19,1,3.5,4.25,3.75,4.25,77,74,81,-1,-1,88,-1,62,-1,-1,0,-1,0,0,0,1,3,6.39,1,5,0,1,0,Békés Vármegye,0.0,100
18,0,2.75,2.5,2.75,3.75,43,63,54,58,-1,-1,-1,92,0,-1,-1,-1,0,1,0,0,2,7.05,1,7,0,3,1,Komárom-Esztergom Vármegye,1.0,101
17,1,4.5,2.75,4.25,3.75,90,59,91,-1,-1,57,72,-1,-1,-1,0,0,-1,0,0,1,1,5.13,0,6,0,4,1,Borsod-Abaúj-Zemplén Vármegye,0.0,102
19,1,4.25,4.0,3.75,3.75,83,77,87,93,-1,-1,-1,59,0,-1,-1,-1,1,0,0,0,3,5.86,1,3,0,3,0,Budapest,1.0,103
17,0,4.5,3.5,4.0,4.5,67,90,87,-1,-1,89,94,-1,-1,-1,0,0,-1,0,0,1,2,4.82,1,4,0,3,0,Heves Vármegye,0.0,104
18,0,4.75,2.5,4.5,3.75,94,90,83,74,-1,-1,-1,72,0,-1,-1,-1,0,0,1,0,1,2.89,1,4,0,1,0,Budapest,1.0,105
17,0,4.0,3.75,4.0,3.5,79,76,85,-1,-1,79,66,-1,-1,-1,1,0,-1,0,0,0,2,4.72,0,5,0,5,0,Hajdú-Bihar Vármegye,0.0,106
17,0,4.25,4.0,3.75,2.75,87,78,97,-1,-1,89,86,-1,-1,-1,0,1,-1,0,0,0,2,3.12,1,4,0,1,0,Pest Vármegye,0.0,107
19,1,4.75,4.25,4.0,3.5,93,88,100,79,-1,-1,96,-1,0,-1,-1,1,-1,0,0,1,3,5.39,1,3,0,2,0,Heves Vármegye,0.0,108
17,1,4.5,3.5,3.75,3.0,93,61,71,94,-1,-1,89,-1,0,-1,-1,0,-1,0,1,0,4,8.38,0,3,0,1,1,Csongrád Vármegye,0.0,109
19,0,4.5,3.75,3.75,2.75,92,45,94,-1,-1,77,-1,72,-1,-1,1,-1,0,0,0,0,2,5.22,1,3,0,2,0,Zala Vármegye,0.0,110
18,1,3.0,2.75,3.5,3.5,64,30,63,-1,-1,41,-1,45,-1,-1,0,-1,0,0,0,0,1,4.58,1,2,0,4,0,Budapest,0.0,111
17,0,4.25,5.0,2.75,3.5,95,79,75,93,-1,-1,89,-1,1,-1,-1,0,-1,1,0,0,3,5.84,0,6,0,2,0,Győr-Moson-Sopron Vármegye,1.0,112
17,1,3.25,3.5,2.5,3.25,77,91,70,60,-1,-1,95,-1,0,-1,-1,0,-1,0,1,0,3,6.01,0,5,1,1,0,Csongrád Vármegye,0.0,113
17,1,4.25,4.75,4.0,4.0,86,79,93,-1,-1,83,85,-1,-1,-1,1,0,-1,0,0,0,2,5.52,1,6,1,2,1,Zala Vármegye,1.0,114
18,1,4.5,3.5,3.75,2.75,85,93,89,94,-1,-1,-1,94,0,-1,-1,-1,0,0,1,0,3,6.59,1,5,0,2,0,Bács-Kiskun Vármegye,0.0,115
17,1,4.25,4.5,2.5,4.5,93,61,89,-1,-1,85,59,-1,-1,-1,0,1,-1,0,0,0,2,4.39,1,4,0,1,0,Borsod-Abaúj-Zemplén Vármegye,0.0,116
18,0,4.0,4.75,4.25,3.25,98,84,87,-1,-1,85,84,-1,-1,-1,0,1,-1,0,0,0,3,8.95,0,2,0,1,0,Fejér Vármegye,0.0,117
17,1,3.5,3.25,4.0,4.25,82,98,87,-1,-1,73,62,-1,-1,-1,0,0,-1,0,0,1,2,6.16,0,5,0,4,0,Zala Vármegye,0.0,118
18,1,3.0,3.0,3.75,4.5,79,90,60,-1,97,-1,78,-1,-1,0,-1,0,-1,0,0,1,2,3.69,0,6,1,5,0,Bács-Kiskun Vármegye,0.0,119
19,0,3.75,3.75,4.0,4.0,77,100,84,84,-1,-1,-1,93,0,-1,-1,-1,0,1,0,0,4,6.36,1,5,0,3,1,Zala Vármegye,1.0,120
19,0,3.75,3.75,3.75,4.0,90,94,78,-1,-1,72,54,-1,-1,-1,0,0,-1,0,0,1,4,9.24,0,4,0,3,0,Budapest,0.0,121
18,0,4.0,4.75,3.5,3.75,86,90,75,73,-1,-1,77,-1,0,-1,-1,1,-1,1,0,0,1,3.45,0,2,1,3,0,Fejér Vármegye,1.0,122
19,1,4.5,4.0,4.25,4.25,83,55,84,96,-1,-1,58,-1,0,-1,-1,1,-1,0,0,0,2,4.44,1,3,0,4,0,Bács-Kiskun Vármegye,0.0,123
18,0,4.75,4.25,3.75,4.5,93,89,80,73,-1,-1,71,-1,0,-1,-1,0,-1,0,0,0,2,6.05,1,5,0,5,0,Zala Vármegye,0.0,124
17,0,4.75,4.25,3.5,4.0,53,69,61,-1,-1,88,-1,69,-1,-1,1,-1,0,0,0,0,2,4.91,1,4,0,2,1,Békés Vármegye,1.0,125
19,1,3.75,4.0,4.75,3.5,89,92,98,98,-1,-1,-1,84,0,-1,-1,-1,0,0,1,0,2,7.8,1,4,1,4,0,Heves Vármegye,1.0,126
17,1,3.5,5.0,3.5,4.0,80,68,83,-1,-1,54,78,-1,-1,-1,0,0,-1,1,0,0,4,8.24,1,6,1,1,0,Zala Vármegye,0.0,127
19,0,4.25,4.25,4.75,3.0,94,98,85,96,-1,-1,87,-1,1,-1,-1,0,-1,0,1,0,3,7.71,1,3,0,5,0,Jász-Nagykun-Szolnok Vármegye,1.0,128
17,1,3.75,3.5,4.5,3.5,70,82,76,-1,-1,68,-1,70,-1,-1,1,-1,0,0,1,0,2,4.62,1,5,0,2,0,Csongrád Vármegye,0.0,129
18,0,4.0,3.25,3.0,4.0,97,49,75,94,-1,-1,81,-1,0,-1,-1,0,-1,0,1,1,1,4.03,1,3,1,3,0,Budapest,0.0,130
19,0,4.0,4.75,3.75,3.5,80,78,90,81,-1,-1,73,-1,0,-1,-1,1,-1,0,1,0,2,4.48,0,6,1,3,0,Somogy Vármegye,0.0,131
17,1,4.5,3.0,3.25,4.75,86,69,79,-1,60,-1,82,-1,-1,0,-1,1,-1,0,1,0,3,4.43,0,5,0,1,1,Jász-Nagykun-Szolnok Vármegye,0.0,132
17,1,3.5,3.75,4.5,4.75,83,68,81,-1,99,-1,79,-1,-1,0,-1,0,-1,1,0,1,3,7.18,0,3,0,3,0,Zala Vármegye,0.0,133
19,1,3.0,3.5,3.75,3.75,69,62,84,60,-1,-1,83,-1,0,-1,-1,1,-1,1,0,0,3,8.34,0,4,0,5,1,Komárom-Esztergom Vármegye,1.0,134
18,0,4.0,3.5,3.0,4.0,71,42,68,-1,74,-1,74,-1,-1,0,-1,0,-1,0,1,1,3,8.39,0,3,0,2,0,Baranya Vármegye,0.0,135
19,0,4.0,4.75,4.25,4.25,54,91,94,-1,73,-1,87,-1,-1,0,-1,1,-1,1,0,0,3,8.89,1,5,0,3,1,Békés Vármegye,1.0,136
17,1,4.5,3.5,4.25,3.5,81,81,82,88,-1,-1,83,-1,0,-1,-1,1,-1,0,0,0,4,5.64,1,2,0,1,0,Győr-Moson-Sopron Vármegye,0.0,137
17,0,2.75,4.75,3.0,3.75,45,68,69,67,-1,-1,-1,69,1,-1,-1,-1,1,0,0,0,2,3.36,0,6,0,3,1,Baranya Vármegye,0.0,138
17,0,3.5,3.25,3.5,4.5,83,77,90,-1,-1,79,63,-1,-1,-1,0,0,-1,0,0,0,2,6.46,1,6,0,3,0,Borsod-Abaúj-Zemplén Vármegye,0.0,139
19,1,4.0,2.75,3.5,4.5,84,96,59,84,-1,-1,59,-1,1,-1,-1,1,-1,0,0,0,2,5.37,0,4,0,4,1,Csongrád Vármegye,0.0,140
17,0,4.0,2.75,4.5,4.0,91,55,66,92,-1,-1,72,-1,0,-1,-1,0,-1,1,1,0,3,9.22,0,3,0,2,0,Zala Vármegye,0.0,141
17,0,3.75,4.75,4.0,4.25,68,84,85,90,-1,-1,79,-1,0,-1,-1,1,-1,0,0,0,2,5.55,1,5,0,1,0,Vas Vármegye,0.0,142
17,0,4.25,4.75,4.25,4.25,90,83,97,-1,69,-1,92,-1,-1,1,-1,0,-1,0,0,1,2,5.68,0,6,0,3,0,Tolna Vármegye,0.0,143
18,0,3.75,4.0,4.5,3.75,58,62,88,65,-1,-1,74,-1,0,-1,-1,0,-1,0,0,1,1,4.18,1,6,0,3,1,Zala Vármegye,0.0,144
17,1,4.75,4.0,3.5,3.75,73,96,78,-1,-1,90,-1,70,-1,-1,0,-1,1,0,0,0,4,6.58,0,4,0,6,1,Budapest,1.0,145
